university_id,university_name,old_name,university_type,city
"305","SAĞLIK BİLİMLERİ ÜNİVERSİTESİ","İÇİŞLERİ BAKANLIĞI VE MİLLİ SAVUNMA BAKANLIĞI ADINA SAĞLIK BİLİMLERİ ÜNİVERSİTESİNDE EĞİTİM ALACAKLAR","devlet","İSTANBUL"
"191","SAKARYA UYGULAMALI BİLİMLER ÜNİVERSİTESİ","","devlet","SAKARYA"
"217","SAKARYA ÜNİVERSİTESİ","","devlet","SAKARYA"
"264","SAMSUN ÜNİVERSİTESİ","","devlet","SAMSUN"
"360","SANKO ÜNİVERSİTESİ","","vakif","GAZİANTEP"
"111","SELÇUK ÜNİVERSİTESİ","","devlet","KONYA"
"290","SİİRT ÜNİVERSİTESİ","","devlet","SİİRT"
"162","SİNOP ÜNİVERSİTESİ","","devlet","SİNOP"
"260","SİVAS BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ","","devlet","SİVAS"
"106","SİVAS CUMHURİYET ÜNİVERSİTESİ","","devlet","SİVAS"
"142","SÜLEYMAN DEMİREL ÜNİVERSİTESİ","","devlet","ISPARTA"
"327","ŞIRNAK ÜNİVERSİTESİ","","devlet","ŞIRNAK"
"240","TARSUS ÜNİVERSİTESİ","","devlet","MERSİN"
"132","TED ÜNİVERSİTESİ","","vakif","ANKARA"
"309","TEKİRDAĞ NAMIK KEMAL ÜNİVERSİTESİ","","devlet","TEKİRDAĞ"
"401","TİRAN NEW YORK ÜNİVERSİTESİ","","yurt_disi","YURTDIŞI"
"232","TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ","","vakif","ANKARA"
"124","TOKAT GAZİOSMANPAŞA ÜNİVERSİTESİ","","devlet","TOKAT"
"328","TOROS ÜNİVERSİTESİ","","vakif","MERSİN"
"180","TRABZON ÜNİVERSİTESİ","","devlet","TRABZON"
"312","TRAKYA ÜNİVERSİTESİ","","devlet","EDİRNE"
"212","TÜRK-ALMAN ÜNİVERSİTESİ","","devlet","İSTANBUL"
"134","TÜRK HAVA KURUMU ÜNİVERSİTESİ","","vakif","ANKARA"
"272","UFUK ÜNİVERSİTESİ","","vakif","ANKARA"
"365","ULUSLARARASI BALKAN ÜNİVERSİTESİ","","yurt_disi","YURTDIŞI"
"301","ULUSLARARASI FİNAL ÜNİVERSİTESİ","","kktc","YURTDIŞI"
"357","ULUSLARARASI KIBRIS ÜNİVERSİTESİ","","kktc","YURTDIŞI"
"236","ULUSLARARASI SARAYBOSNA ÜNİVERSİTESİ","","yurt_disi","YURTDIŞI"
"278","UŞAK ÜNİVERSİTESİ","","devlet","UŞAK"
"179","ÜSKÜDAR ÜNİVERSİTESİ","","vakif","İSTANBUL"
"304","VAN YÜZÜNCÜ YIL ÜNİVERSİTESİ","","devlet","VAN"
"219","YAKIN DOĞU ÜNİVERSİTESİ","","kktc","YURTDIŞI"
"270","YALOVA ÜNİVERSİTESİ","","devlet","YALOVA"
"340","YAŞAR ÜNİVERSİTESİ","","vakif","İZMİR"
"338","YEDİTEPE ÜNİVERSİTESİ","","vakif","İSTANBUL"
"222","YILDIZ TEKNİK ÜNİVERSİTESİ","","devlet","İSTANBUL"
"269","YOZGAT BOZOK ÜNİVERSİTESİ","","devlet","YOZGAT"
"229","YÜKSEK İHTİSAS ÜNİVERSİTESİ","","vakif","ANKARA"
"326","ZONGULDAK BÜLENT ECEVİT ÜNİVERSİTESİ","","devlet","ZONGULDAK"
