program_code,year,ayt_bio,ayt_cog1,ayt_cog2,ayt_dk,ayt_fel,ayt_fiz,ayt_kim,ayt_mat,ayt_tar1,ayt_tar2,ayt_tr,tyt_fen,tyt_mat,tyt_sos,tyt_tr,ydt_dil
103390230,2024,,,,,,,,,,,,,,,,
103390149,2024,,,,,,,,,,,,0.7,3.2,8.8,18.3,
101370272,2024,,,,,,,,,,,,1.0,2.8,6.8,17.8,
206552026,2024,,,,,,,,,,,,,,,,
107390189,2024,,,,,,,,,,,,0.7,2.9,8.6,18.0,
207650838,2024,,,,,,,,,,,,0.2,2.5,3.1,8.0,
107690154,2024,,,,,,,,,,,,1.5,3.3,8.1,21.3,
104790054,2024,,,,,,,,,,,,0.0,3.8,7.0,18.4,
101150977,2024,,,,,,,,,,,,2.5,2.7,9.9,21.0,
101051376,2024,,,,,,,,,,,,0.7,3.1,8.4,21.2,
110290120,2024,,,,,,,,,,,,,,,,
101490698,2024,,,,,,,,,,,,0.6,2.3,6.7,17.7,
100990026,2024,,,,,,,,,,,,1.5,2.2,7.3,19.2,
104590132,2024,,,,,,,,,,,,1.1,1.3,8.0,16.2,
103290214,2024,,,,,,,,,,,,0.6,2.3,7.4,18.5,
108690161,2024,,,,,,,,,,,,2.0,5.0,7.4,18.5,
105650969,2024,,,,,,,,,,,,1.0,4.0,8.1,19.6,
207650829,2024,,,,,,,,,,,,0.0,2.8,10.8,25.2,
109190059,2024,,,,,,,,,,,,2.1,1.6,7.1,20.1,
112190144,2024,,,,,,,,,,,,1.2,3.0,8.2,19.0,
107890030,2024,,,,,,,,,,,,0.5,1.0,8.0,18.2,
112190242,2024,,,,,,,,,,,,,,,,
108890242,2024,,,,,,,,,,,,0.9,2.5,7.5,17.6,
101190341,2024,,,,,,,,,,,,0.9,3.4,9.8,23.3,
103650657,2024,,,,,,,,,,,,0.5,3.3,8.6,18.1,
206552044,2024,,,,,,,,,,,,0.3,1.3,3.8,7.7,
108690161,2023,,,,,,,,,,,,0.8,3.0,8.0,20.5,
105650969,2023,,,,,,,,,,,,0.8,6.2,9.3,21.4,
110290120,2023,,,,,,,,,,,,-0.3,10.9,11.0,26.4,
104590132,2023,,,,,,,,,,,,0.6,3.2,6.9,16.9,
207650829,2023,,,,,,,,,,,,,,,,
