program_code,year,placed_count,placed_pref_rank_avg,placed_top_1_pref_count,placed_top_3_pref_count,placed_top_10_pref_count,placed_rank_1_count,placed_rank_2_count,placed_rank_3_count,placed_rank_4_count,placed_rank_5_count,placed_rank_6_count,placed_rank_7_count,placed_rank_8_count,placed_rank_9_count,placed_rank_10_count,placed_rank_11_count,placed_rank_12_count,placed_rank_13_count,placed_rank_14_count,placed_rank_15_count,placed_rank_16_count,placed_rank_17_count,placed_rank_18_count,placed_rank_19_count,placed_rank_20_count,placed_rank_21_count,placed_rank_22_count,placed_rank_23_count,placed_rank_24_count
103390149,2023,54,7.1,11,23,39,11,6,6,5,2,2,2,3,1,1,0,0,2,5,0,1,1,1,4,0,0,1,0,0
101190341,2023,106,2.7,63,85,101,63,13,9,3,2,2,4,4,1,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0
101051376,2023,1260,2.4,741,1028,1233,741,174,113,82,41,27,13,18,16,8,4,3,3,1,2,3,1,0,3,3,3,1,0,0
207650838,2023,34,6.3,12,21,26,12,7,2,2,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,2,1,2,0,0
206552026,2023,9,5.9,3,6,7,3,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
206552044,2023,46,4.5,13,29,42,13,9,7,2,3,3,0,2,2,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0
108890242,2023,106,5.6,17,48,91,17,13,18,10,3,10,10,3,5,2,4,1,4,0,0,2,0,1,0,0,1,0,1,1
207650838,2022,25,3.6,10,15,24,10,3,2,2,1,1,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
101051376,2022,1230,2.5,788,1032,1175,788,173,71,39,27,24,16,11,18,8,10,4,2,4,6,4,5,6,0,4,3,2,1,4
101190341,2022,103,4.2,52,71,91,52,10,9,5,2,2,4,2,3,2,2,3,0,0,1,0,1,2,0,0,0,0,1,2
103390149,2022,52,11.1,4,10,25,4,3,3,5,4,2,1,2,0,1,1,2,1,2,1,5,3,3,0,1,2,3,3,0
107890030,2022,52,7.6,7,17,38,7,8,2,2,2,3,7,2,1,4,1,2,3,2,0,0,0,3,0,2,1,0,0,0
104790054,2022,41,10.1,5,9,25,5,1,3,3,1,2,2,2,3,3,1,2,1,0,3,0,1,0,2,1,1,1,1,2
107690154,2022,47,9.2,8,10,30,8,2,0,2,6,4,4,2,2,0,1,3,1,1,1,1,1,0,0,2,1,2,1,2
101490698,2022,1640,3.3,536,1213,1551,536,520,157,114,98,41,30,22,15,18,11,13,9,8,6,5,7,3,5,5,3,3,9,2
103290214,2022,57,9.5,4,12,35,4,3,5,4,3,1,7,4,1,3,5,2,2,1,1,2,1,0,2,1,0,2,0,3
108890242,2022,103,5.0,25,53,93,25,18,10,9,8,6,4,5,3,5,1,2,0,1,1,0,0,2,0,1,0,1,0,1
109190059,2022,41,10.1,4,13,24,4,6,3,2,0,1,0,5,0,3,0,2,2,0,1,1,2,0,0,3,3,2,1,0
206552044,2022,51,5.4,6,22,45,6,9,7,4,5,3,4,6,1,0,0,2,0,1,1,1,1,0,0,0,0,0,0,0
108690161,2022,31,8.6,2,10,20,2,5,3,0,1,3,3,2,0,1,2,1,0,2,0,1,1,0,0,2,2,0,0,0
101370272,2022,52,9.3,3,11,30,3,6,2,5,5,4,0,3,1,1,2,1,3,5,1,1,3,0,2,0,0,3,0,1
112190144,2022,31,8.9,5,9,19,5,3,1,3,1,1,1,1,2,1,0,0,3,2,1,1,1,0,2,0,1,1,0,0
110290120,2022,31,5.9,4,10,27,4,5,1,4,3,3,4,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1
101150977,2022,72,9.3,10,25,42,10,6,9,2,2,2,2,2,2,5,5,2,2,3,2,0,2,1,3,3,4,3,0,0
107351046,2022,52,10.3,3,10,30,3,3,4,4,2,2,4,1,5,2,1,1,3,3,2,1,1,1,2,2,0,1,3,1
206552026,2022,9,5.4,1,3,8,1,1,1,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
104590132,2022,48,11.3,2,8,22,2,2,4,2,1,2,5,2,0,2,4,1,2,2,3,2,2,2,2,1,0,4,1,0
207650829,2022,5,2.4,3,3,5,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105650969,2022,123,4.5,64,85,106,64,13,8,5,4,2,2,2,1,5,1,1,2,0,0,5,1,0,0,3,1,1,2,0
103650657,2022,52,7.0,5,18,40,5,7,6,10,2,3,1,2,1,3,2,3,1,0,0,0,0,1,0,2,0,2,0,1
100990026,2022,41,9.9,6,9,23,6,1,2,2,1,2,2,2,3,2,2,2,1,3,0,3,1,0,2,2,0,2,0,0
101150977,2021,72,6.7,14,31,54,14,11,6,5,5,3,0,4,2,4,3,5,0,2,2,1,0,1,0,1,1,1,0,1
108890242,2021,103,4.5,31,64,89,31,22,11,10,2,4,4,3,0,2,3,0,1,3,2,1,1,1,0,1,1,0,0,0
107690154,2021,47,5.4,16,26,39,16,6,4,1,1,4,2,3,1,1,0,2,0,1,1,1,1,1,0,1,0,0,0,0
200350941,2021,2,2.5,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101370272,2021,47,7.4,8,19,35,8,5,6,3,3,3,2,0,4,1,1,1,1,0,1,1,2,0,1,1,1,0,0,2
103650657,2021,52,6.1,17,26,40,17,6,3,1,4,2,2,1,2,2,1,2,1,0,0,4,3,1,0,0,0,0,0,0
104790054,2021,41,8.5,9,14,28,9,4,1,2,1,2,1,2,3,3,1,1,1,0,0,4,0,2,1,1,0,0,1,1
107890030,2021,52,7.6,9,16,39,9,4,3,6,3,3,4,2,1,4,0,3,0,1,2,0,1,2,0,1,0,2,0,1
105650969,2021,185,3.1,98,141,171,98,26,17,10,9,2,3,3,1,2,1,3,4,2,2,0,0,1,1,0,0,0,0,0
200350923,2021,3,3.3,1,1,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103390149,2021,52,7.0,11,19,39,11,6,2,7,2,4,0,3,2,2,0,3,1,0,1,1,2,0,2,2,1,0,0,0
108690161,2021,31,6.1,6,13,27,6,2,5,2,2,1,3,2,1,3,0,1,0,1,0,0,0,1,0,1,0,0,0,0
104590132,2021,41,7.0,10,16,30,10,4,2,5,2,4,2,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1
101190341,2021,82,3.0,46,63,79,46,10,7,2,3,3,4,2,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
101451981,2021,1640,2.7,624,1319,1593,624,553,142,88,95,37,21,16,7,10,9,4,6,5,3,2,1,1,0,4,2,2,1,7
103290214,2021,47,7.4,13,18,33,13,2,3,3,4,4,2,0,0,2,2,1,2,1,1,1,0,2,0,0,1,0,1,2
207650829,2021,5,9.6,1,1,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
101051376,2021,1230,1.9,948,1118,1197,948,120,50,34,20,8,6,1,8,2,3,6,4,4,2,1,2,2,1,1,1,1,4,1
109190059,2021,31,8.4,3,10,21,3,5,2,2,0,1,2,1,3,2,1,2,0,1,2,0,0,1,1,1,0,0,1,0
110290120,2021,31,3.0,18,21,30,18,2,1,3,2,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
207650838,2021,17,3.8,9,10,16,9,1,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
206552026,2021,9,5.8,2,4,8,2,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
206552044,2021,16,3.4,6,13,14,6,3,4,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
100990026,2021,41,6.3,11,18,33,11,4,3,5,3,3,2,0,0,2,1,0,0,0,1,0,1,1,2,1,0,0,0,1
107351046,2021,52,9.4,6,15,33,6,5,4,0,2,2,4,3,1,6,1,1,3,0,2,2,3,3,0,0,1,1,1,1
200350923,2020,6,8.5,0,1,5,0,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
