program_code,year,university_type_id,placed_pref_count
300290442,2021,1,0
101890037,2021,1,11
101290082,2021,1,21
101490475,2021,1,203
104710336,2021,1,10
102710387,2020,1,1011
104790017,2020,1,1023
108911647,2020,1,1031
111091394,2020,1,697
300211622,2020,1,23
108990307,2020,1,1038
104710336,2020,1,1097
100890058,2020,1,665
101370270,2020,1,795
107310446,2020,1,1356
104390077,2020,1,643
109590048,2020,1,1113
101290082,2020,1,794
107910379,2020,1,855
107710442,2020,1,947
100890057,2020,1,1045
101890037,2020,1,744
107330202,2020,1,1160
107310473,2020,1,1133
104710336,2019,1,1194
100890058,2019,1,758
107330202,2019,1,1325
101890037,2019,1,798
108990307,2019,1,874
107310446,2019,1,1500
102710387,2019,1,1083
104790017,2019,1,1209
107910379,2019,1,875
107710442,2019,1,1034
108911647,2019,1,1046
107310473,2019,1,1074
100890057,2019,1,1055
104390077,2019,1,793
300211622,2019,1,0
110390237,2024,1,376
110390237,2023,1,362
110390237,2022,1,317
110390244,2024,1,401
110390244,2023,1,376
110390244,2022,1,358
200351709,2023,1,14
204190553,2023,1,84
105290034,2023,1,1172
103350775,2023,1,962
200651848,2023,1,9
101290073,2023,1,787
202550703,2023,1,105
201650017,2023,1,157
201150067,2023,1,9
209210138,2023,1,123
101290070,2023,1,1032
201790263,2023,1,33
106051352,2023,1,1350
203590177,2023,1,6
110670119,2023,1,693
103550967,2023,1,606
300350331,2023,1,50
300150518,2023,1,48
102890079,2023,1,1268
101690103,2023,1,822
202751595,2023,1,11
112370767,2023,1,480
106650578,2023,1,671
104251232,2023,1,676
110390142,2023,1,1440
208750390,2023,1,1
208750166,2023,1,151
201650044,2023,1,41
102350381,2023,1,1256
101451503,2023,1,541
105190068,2023,1,743
203050829,2023,1,13
203051121,2023,1,95
203550384,2023,1,22
109490179,2023,1,654
101850264,2023,1,1368
203150316,2023,1,29
201450037,2023,1,62
109590015,2023,1,668
102090060,2023,1,690
104390105,2023,1,416
210400822,2023,1,2
201650026,2023,1,45
201150076,2023,1,72
100751363,2023,1,564
200651857,2023,1,45
104351443,2023,1,1225
102790186,2023,1,727
100890075,2023,1,386
300250508,2023,1,87
108251017,2023,1,602
200690734,2023,1,155
204751871,2023,1,83
200290135,2023,1,20
206050874,2023,1,186
207450549,2023,1,202
300590394,2023,1,65
108950224,2023,1,917
208150161,2023,1,13
102690216,2023,1,540
108750544,2023,1,804
206410608,2023,1,154
109850725,2023,1,698
204050032,2023,1,139
106450598,2023,1,1065
200390120,2023,1,270
206050847,2023,1,52
103290212,2023,1,930
204050014,2023,1,347
206050856,2023,1,50
106490148,2023,1,1140
204190560,2023,1,34
300550568,2023,1,44
203550375,2023,1,64
208450307,2023,1,43
205052476,2023,1,27
201050456,2023,1,438
301390061,2023,1,64
108890302,2023,1,136
210400815,2023,1,23
208450316,2023,1,26
206850681,2023,1,146
101090558,2023,1,386
200290149,2023,1,142
205550439,2023,1,372
206410606,2023,1,16
204751862,2023,1,30
103990106,2023,1,342
105951028,2023,1,719
201050447,2023,1,57
210400829,2023,1,102
208750165,2023,1,30
201790264,2023,1,92
209210080,2023,1,13
207450522,2023,1,13
208150188,2023,1,160
107050218,2023,1,510
103150017,2023,1,825
112910010,2023,1,618
109252993,2023,1,1037
106150583,2023,1,1317
205850206,2023,1,38
102190030,2023,1,561
208150152,2023,1,9
201450028,2023,1,29
102551305,2023,1,1347
112070694,2023,1,402
201250709,2023,1,17
101150853,2023,1,579
206850672,2023,1,13
105651058,2023,1,542
111750659,2023,1,550
107250525,2023,1,440
105350875,2023,1,497
204050023,2023,1,23
300350491,2023,1,68
205052485,2023,1,102
202353108,2023,1,19
103650012,2023,1,825
205550448,2023,1,10
104790037,2023,1,1149
203150325,2023,1,186
202390591,2023,1,60
202390584,2023,1,96
202453576,2023,1,16
101370256,2023,1,1065
210200101,2023,1,12
107690200,2023,1,643
202751647,2023,1,99
205850515,2023,1,146
206290197,2023,1,92
301390109,2023,1,81
210200108,2023,1,308
103050778,2023,1,599
210300101,2023,1,21
107050254,2023,1,857
300150509,2023,1,38
106870265,2023,1,563
106951697,2023,1,537
107790206,2023,1,87
206250457,2023,1,25
210300108,2023,1,125
202550696,2023,1,15
201290334,2023,1,174
300850089,2023,1,0
300150493,2023,1,41
109950257,2023,1,512
202453567,2023,1,28
208910010,2023,1,205
300850105,2023,1,213
300250492,2023,1,26
208910011,2023,1,44
202454556,2023,1,98
107390118,2023,1,679
300250474,2023,1,61
204150755,2023,1,20
108190131,2023,1,545
202752769,2022,1,90
103290212,2022,1,902
103650012,2022,1,895
101090558,2022,1,448
112070694,2022,1,571
205850515,2022,1,205
108950224,2022,1,946
100770987,2022,1,544
206410608,2022,1,262
207450549,2022,1,194
206410606,2022,1,54
107050218,2022,1,595
208550015,2022,1,74
208550033,2022,1,246
106870265,2022,1,905
106951697,2022,1,615
208590074,2022,1,79
102790217,2022,1,786
201290334,2022,1,143
112370767,2022,1,475
201650017,2022,1,169
201650044,2022,1,11
201650026,2022,1,41
106450598,2022,1,1268
104790050,2022,1,1282
201450037,2022,1,116
109272246,2022,1,1053
201050456,2022,1,345
105951028,2022,1,809
106150583,2022,1,1407
205550439,2022,1,44
201450082,2022,1,23
207450876,2022,1,13
112910010,2022,1,764
207450522,2022,1,13
201290288,2022,1,47
201450028,2022,1,31
201250709,2022,1,23
107250525,2022,1,482
201450091,2022,1,127
202353108,2022,1,38
202751647,2022,1,215
202453576,2022,1,39
109950257,2022,1,833
202456313,2022,1,12
200790565,2022,1,176
200751556,2022,1,21
202353117,2022,1,149
103990106,2022,1,439
200790509,2022,1,195
202550696,2022,1,23
202453567,2022,1,21
202454556,2022,1,57
105290034,2022,1,1267
101290073,2022,1,861
202550703,2022,1,119
201790263,2022,1,34
101690103,2022,1,836
202752751,2022,1,26
202751595,2022,1,28
208750166,2022,1,112
101850264,2022,1,1323
203050829,2022,1,45
203150316,2022,1,43
100890075,2022,1,465
204590390,2022,1,158
204551194,2022,1,37
204590391,2022,1,7
204751871,2022,1,77
102790186,2022,1,929
109850725,2022,1,847
208150161,2022,1,21
100751363,2022,1,645
200390120,2022,1,283
110670119,2022,1,733
206850706,2022,1,37
104370801,2022,1,1489
205052961,2022,1,24
205052476,2022,1,20
301390061,2022,1,158
105370313,2022,1,865
208450316,2022,1,26
208450307,2022,1,83
300550568,2022,1,136
106470496,2022,1,1073
203550375,2022,1,118
206050847,2022,1,48
206050856,2022,1,20
204050032,2022,1,200
300590394,2022,1,114
206050874,2022,1,120
108750544,2022,1,1047
108251017,2022,1,805
104351443,2022,1,1254
203550384,2022,1,38
104390105,2022,1,552
201150076,2022,1,64
109590015,2022,1,754
102350381,2022,1,1089
102090060,2022,1,696
110390142,2022,1,1558
300150518,2022,1,61
203590177,2022,1,52
106650578,2022,1,631
101290070,2022,1,1062
103350775,2022,1,1295
201150067,2022,1,16
204190553,2022,1,77
200351709,2022,1,35
204150755,2022,1,44
109870235,2022,1,933
102890079,2022,1,1347
109970207,2022,1,789
106170287,2022,1,1554
205850199,2022,1,11
208910011,2022,1,53
300250474,2022,1,38
300250492,2022,1,49
109490179,2022,1,850
206250457,2022,1,31
300850105,2022,1,154
300850089,2022,1,33
300150493,2022,1,45
300150509,2022,1,78
206290197,2022,1,127
301390109,2022,1,95
200690543,2022,1,93
101370265,2022,1,798
205052979,2022,1,108
104790037,2022,1,1177
205550448,2022,1,10
205052485,2022,1,109
200751247,2022,1,18
103670149,2022,1,853
204590392,2022,1,88
101451503,2022,1,574
206850715,2022,1,195
300350491,2022,1,67
204050023,2022,1,43
206850672,2022,1,26
108970185,2022,1,1051
102551305,2022,1,1481
208150152,2022,1,15
105651058,2022,1,614
200690346,2022,1,7
104251232,2022,1,755
205850206,2022,1,28
109252993,2022,1,1197
208150188,2022,1,120
207451123,2022,1,127
103150017,2022,1,784
202456331,2022,1,82
201790264,2022,1,113
208750165,2022,1,38
209210138,2022,1,145
204751862,2022,1,8
206850681,2022,1,151
300350331,2022,1,114
204190560,2022,1,45
204050014,2022,1,151
102690216,2022,1,580
106490148,2022,1,1124
300250508,2022,1,59
204590389,2022,1,0
200290135,2022,1,27
203051121,2022,1,130
204551776,2022,1,10
110670134,2022,1,412
103550967,2022,1,746
107390118,2022,1,914
203150325,2022,1,134
200690734,2022,1,144
208910010,2022,1,340
107790206,2022,1,461
105350875,2022,1,628
107050254,2022,1,835
203150988,2022,1,110
111750659,2022,1,654
101150853,2022,1,642
200690347,2022,1,0
209210080,2022,1,14
103390114,2022,1,1229
203150979,2022,1,6
200290149,2022,1,186
201050447,2022,1,42
108890302,2022,1,242
200651857,2022,1,33
108190131,2022,1,604
200651848,2022,1,3
101870205,2022,1,1377
107690200,2022,1,769
101370256,2022,1,1120
205550457,2022,1,79
102190030,2022,1,597
106051352,2022,1,1502
105190068,2022,1,725
103050778,2022,1,703
112370767,2021,1,459
300150509,2021,1,33
202752769,2021,1,45
206290197,2021,1,55
107690200,2021,1,643
208910010,2021,1,150
100751363,2021,1,621
202456313,2021,1,0
105690478,2021,1,4829
103390114,2021,1,1120
200690543,2021,1,57
101451724,2021,1,5122
101370265,2021,1,902
202453576,2021,1,14
205052979,2021,1,11
109950257,2021,1,619
105190068,2021,1,576
107790206,2021,1,449
104790037,2021,1,1000
300350491,2021,1,0
202353108,2021,1,20
102790217,2021,1,685
205550448,2021,1,35
103670149,2021,1,870
205052485,2021,1,107
208550033,2021,1,137
203150988,2021,1,41
200751247,2021,1,31
106951697,2021,1,580
202751647,2021,1,114
206850715,2021,1,75
110670119,2021,1,591
204590392,2021,1,94
105350875,2021,1,650
108950224,2021,1,917
112070694,2021,1,635
206850672,2021,1,16
102090060,2021,1,585
201450091,2021,1,3
104251232,2021,1,806
204050023,2021,1,67
103990106,2021,1,480
111750659,2021,1,768
108970185,2021,1,992
201450028,2021,1,42
201250709,2021,1,22
201290238,2021,1,85
107050254,2021,1,775
102551305,2021,1,1426
105651058,2021,1,523
208150152,2021,1,0
208550015,2021,1,56
300450233,2021,1,5
101370256,2021,1,1031
101150853,2021,1,564
200690346,2021,1,3
207450867,2021,1,0
201290288,2021,1,20
107250525,2021,1,325
203150979,2021,1,34
205850206,2021,1,20
300350331,2021,1,60
208150188,2021,1,11
207450513,2021,1,0
207450549,2021,1,62
109252993,2021,1,1117
207450522,2021,1,40
106051352,2021,1,1387
209210080,2021,1,82
207451123,2021,1,18
101090558,2021,1,518
200690347,2021,1,14
101870205,2021,1,1448
202456331,2021,1,45
103150017,2021,1,674
204751862,2021,1,6
112910010,2021,1,682
101150862,2021,1,491
201790264,2021,1,76
201450082,2021,1,17
206410606,2021,1,37
208750165,2021,1,33
102190030,2021,1,526
107050218,2021,1,629
207450876,2021,1,5
205550439,2021,1,28
208450316,2021,1,16
205052476,2021,1,23
107090077,2021,1,774
105370313,2021,1,774
200290135,2021,1,32
208450307,2021,1,49
300550568,2021,1,53
106470496,2021,1,1024
103050778,2021,1,829
206850681,2021,1,143
206050847,2021,1,40
301390061,2021,1,93
200290149,2021,1,72
205052961,2021,1,33
201050456,2021,1,219
206850706,2021,1,12
105951028,2021,1,727
206050856,2021,1,25
300590394,2021,1,11
104370801,2021,1,1390
206050874,2021,1,65
200390120,2021,1,67
205550457,2021,1,88
204050032,2021,1,134
201450037,2021,1,97
109272246,2021,1,945
208150161,2021,1,19
102370173,2021,1,1130
108750544,2021,1,980
109850725,2021,1,706
204751871,2021,1,16
204590391,2021,1,0
204050014,2021,1,98
108251017,2021,1,714
300150518,2021,1,6
203550384,2021,1,15
204551194,2021,1,30
204590389,2021,1,0
104351443,2021,1,1027
204590390,2021,1,65
206410608,2021,1,139
100890075,2021,1,565
104790050,2021,1,1091
104390105,2021,1,492
102690216,2021,1,503
203150316,2021,1,44
100770987,2021,1,583
109590015,2021,1,663
201150076,2021,1,70
203050829,2021,1,45
208750166,2021,1,27
201650026,2021,1,27
102350381,2021,1,1101
102790186,2021,1,776
203590177,2021,1,124
101850264,2021,1,990
300250508,2021,1,0
110390142,2021,1,1284
106490148,2021,1,1093
200651857,2021,1,25
202751595,2021,1,33
300450154,2021,1,11
106650578,2021,1,568
202752751,2021,1,3
201790263,2021,1,21
101690103,2021,1,743
201050447,2021,1,28
101290070,2021,1,900
202550703,2021,1,52
204150904,2021,1,110
101290073,2021,1,698
106450598,2021,1,1054
103350775,2021,1,994
204551776,2021,1,8
201650044,2021,1,23
200651875,2021,1,56
204150755,2021,1,22
108190131,2021,1,510
200751256,2021,1,38
200351709,2021,1,27
201150067,2021,1,42
203051121,2021,1,65
106150583,2021,1,1150
109870235,2021,1,924
103650012,2021,1,748
109490179,2021,1,669
201650017,2021,1,131
109970207,2021,1,951
300850089,2021,1,9
208910011,2021,1,51
106870265,2021,1,751
106170287,2021,1,1467
110670134,2021,1,467
103290212,2021,1,713
202454556,2021,1,39
203150325,2021,1,78
300250474,2021,1,0
205850199,2021,1,7
105290034,2021,1,1203
101050775,2021,1,3564
101451503,2021,1,583
300250492,2021,1,8
200651848,2021,1,5
206250457,2021,1,24
107390118,2021,1,766
202453567,2021,1,14
103550967,2021,1,587
300850105,2021,1,0
102890079,2021,1,1114
202353117,2021,1,67
205850515,2021,1,108
300150493,2021,1,3
202550696,2021,1,19
200790509,2021,1,50
200751556,2021,1,22
201650026,2020,1,31
102890079,2020,1,1326
109490179,2020,1,814
110670119,2020,1,822
101451503,2020,1,701
104251232,2020,1,1063
200690347,2020,1,0
110910107,2020,1,31
110910105,2020,1,13
100751363,2020,1,494
200290135,2020,1,40
102090060,2020,1,538
102790186,2020,1,820
200651875,2020,1,30
201150076,2020,1,144
201150067,2020,1,14
205850199,2020,1,19
103670149,2020,1,943
105651058,2020,1,560
103150017,2020,1,958
106490148,2020,1,1040
103550967,2020,1,757
107050254,2020,1,773
201050447,2020,1,60
205550457,2020,1,54
207450867,2020,1,0
207450549,2020,1,70
201450037,2020,1,60
201450082,2020,1,27
201450028,2020,1,33
202353117,2020,1,38
202453567,2020,1,3
202454556,2020,1,39
200751256,2020,1,124
202550703,2020,1,41
201751235,2020,1,21
202752751,2020,1,35
202751595,2020,1,36
208750166,2020,1,112
203050829,2020,1,43
203150316,2020,1,30
204590390,2020,1,78
204551194,2020,1,26
204590391,2020,1,3
204751871,2020,1,69
208150161,2020,1,19
206850706,2020,1,6
205052961,2020,1,11
205052476,2020,1,27
208450316,2020,1,24
208450307,2020,1,43
208450743,2020,1,7
203550375,2020,1,24
206050856,2020,1,40
204050032,2020,1,201
108750544,2020,1,958
108251017,2020,1,627
104351443,2020,1,1170
104390105,2020,1,559
109590015,2020,1,609
102350381,2020,1,1151
110390142,2020,1,1256
106650578,2020,1,703
101290070,2020,1,915
103350775,2020,1,1099
200351709,2020,1,20
109870235,2020,1,993
109970207,2020,1,798
106170287,2020,1,1406
300250474,2020,1,0
300250492,2020,1,36
300850105,2020,1,7
300150493,2020,1,0
300150509,2020,1,43
101370265,2020,1,799
104790037,2020,1,1085
205550448,2020,1,17
200751247,2020,1,34
204590392,2020,1,29
208450742,2020,1,11
204050023,2020,1,61
108970185,2020,1,1254
102551305,2020,1,1331
300450233,2020,1,14
200690346,2020,1,11
205850206,2020,1,47
109252993,2020,1,829
207451123,2020,1,26
202456331,2020,1,25
208750165,2020,1,30
206850681,2020,1,152
204050014,2020,1,139
102690216,2020,1,642
300250508,2020,1,12
